symbol,inception
HAUD,2015-06-29
HTUS,2015-06-24
JPN,2015-06-24
HGJP,2015-06-23
HGEU,2015-06-23
SOP,2015-06-22
UOP,2015-06-22
HBZ,2015-06-22
HBU,2015-06-22
ZBIO,2015-06-22
UBIO,2015-06-22
CHAD,2015-06-17
IVLU,2015-06-16
ISZE,2015-06-16
PTLC,2015-06-12
PTMC,2015-06-12
PTNQ,2015-06-12
UBND,2015-06-11
HEGE,2015-06-10
HEGJ,2015-06-10
TUTI,2015-06-09
HFEZ,2015-06-09
SPUN,2015-06-09
HDLS,2015-06-04
DXUS,2015-06-04
ICVT,2015-06-02
FCFI,2015-06-01
HHFR,2015-06-01
DRVN,2015-06-01
HHDG,2015-06-01
GUSH,2015-05-28
DRIP,2015-05-28
LABD,2015-05-28
LABU,2015-05-28
JDG,2015-05-28
CAPX,2015-05-28
YLCO,2015-05-27
VXDN,2015-05-19
VXUP,2015-05-19
SCIJ,2015-05-12
SCIX,2015-05-12
SCID,2015-05-12
SCIU,2015-05-12
DHVW,2015-05-12
FXEU,2015-05-07
LRET,2015-05-05
JETS,2015-04-30
UK,2015-04-29
ACWF,2015-04-28
ISCF,2015-04-28
INTF,2015-04-28
SMLF,2015-04-28
LRGF,2015-04-28
ACTX,2015-04-28
PAK,2015-04-22
SMCP,2015-04-21
CHAU,2015-04-16
QUS,2015-04-15
XRLV,2015-04-09
FFTY,2015-04-09
JHDG,2015-04-09
DBRE,2015-04-08
DBIF,2015-04-08
SGDJ,2015-03-31
QLS,2015-03-24
QED,2015-03-24
ROGS,2015-03-24
XT,2015-03-19
SDEM,2015-03-17
SRET,2015-03-16
AFTY,2015-03-12
IBDQ,2015-03-11
IBDP,2015-03-11
IBDO,2015-03-11
VLLV,2015-03-11
VLML,2015-03-11
VLSM,2015-03-11
IBDN,2015-03-10
IBDM,2015-03-10
IBDK,2015-03-10
IBDJ,2015-03-10
HOML,2015-03-10
HOMX,2015-03-10
EUSC,2015-03-04
MEAR,2015-03-03
EMIH,2015-03-03
IGIH,2015-03-03
HYIH,2015-03-03
QVM,2015-02-27
ROUS,2015-02-26
RODM,2015-02-26
ROAM,2015-02-26
TUTT,2015-02-25
INC,2015-02-24
TOTL,2015-02-23
TONS,2015-02-20
RISE,2015-02-19
FLRT,2015-02-18
GDXX,2015-02-12
GDXS,2015-02-12
GDJS,2015-02-12
GDJJ,2015-02-12
KEMP,2015-02-12
GHII,2015-02-11
SPYB,2015-02-04
REGL,2015-02-03
SMDV,2015-02-03
SMHD,2015-02-03
RGRO,2015-02-02
FREL,2015-02-02
SBEU,2015-01-27
SBUS,2015-01-27
ZLRG,2015-01-20
ZSML,2015-01-20
DIVA,2015-01-15
IMTM,2015-01-15
IQLT,2015-01-13
HIPS,2015-01-07
LLEM,2015-01-07
LLDM,2015-01-07
LLSC,2015-01-07
LLSP,2015-01-07
JPEM,2015-01-07
SBIO,2014-12-31
EQAL,2014-12-23
DIVY,2014-12-18
IVAL,2014-12-17
BBC,2014-12-16
BBP,2014-12-16
VALX,2014-12-11
XSOE,2014-12-10
CRBN,2014-12-10
DBEZ,2014-12-10
GAA,2014-12-09
MLPO,2014-12-03
VQTS,2014-12-02
KCNY,2014-12-02
LOWC,2014-11-25
CHNB,2014-11-18
SKOR,2014-11-12
EMQQ,2014-11-12
HACK,2014-11-12
CBON,2014-11-10
PDBC,2014-11-07
JPIN,2014-11-05
GMOM,2014-11-04
LMBS,2014-11-04
FEMB,2014-11-04
FPXI,2014-11-04
ARKK,2014-10-31
ARKG,2014-10-31
STXX,2014-10-30
DAX,2014-10-23
QVAL,2014-10-22
SCTO,2014-10-22
EFFE,2014-10-22
FEUZ,2014-10-21
VBND,2014-10-16
FCOR,2014-10-09
FLTB,2014-10-09
FBND,2014-10-09
ALTS,2014-10-08
IPOS,2014-10-06
AMZA,2014-10-01
FUTS,2014-10-01
HDLV,NA
ARKQ,NA
ARKW,2014-09-30
EMRE,2014-09-29
HEEM,2014-09-23
DVP,2014-09-23
BSCN,2014-09-17
BSCO,2014-09-17
BSJL,2014-09-17
BSJM,2014-09-17
QMEX,2014-09-17
QKOR,2014-09-17
QTWN,2014-09-17
DIVC,2014-09-16
ETSX,2014-09-16
TOFR,2014-09-15
LDRI,2014-09-10
RORO,2014-09-09
FTLS,2014-09-08
MBSD,2014-09-03
WBIH,2014-08-27
WBII,2014-08-27
WBIL,2014-08-27
WBIG,2014-08-27
WBIF,2014-08-27
WBIE,2014-08-27
WBID,2014-08-27
WBIC,2014-08-27
WBIB,2014-08-27
WBIA,2014-08-27
EFAD,2014-08-21
FDIV,2014-08-13
IBMI,2014-08-12
FTSM,2014-08-06
WYDE,2014-08-05
TYTE,2014-08-05
IBLN,2014-08-01
YGRO,2014-07-29
MDLL,2014-07-29
SMLL,2014-07-29
SYTL,2014-07-29
DIVI,2014-07-29
CNXT,2014-07-23
IFV,2014-07-22
TAPR,2014-07-15
CFGE,2014-07-15
SGDM,2014-07-15
WIL,2014-07-10
HEZU,2014-07-08
REET,2014-07-08
CFA,2014-07-01
CFO,2014-07-01
CDC,2014-07-01
CSF,2014-07-01
LMLP,2014-06-24
JPGE,2014-06-16
QGBR,2014-06-11
FLGE,2014-06-11
FBGX,2014-06-11
QESP,2014-06-11
QJPN,2014-06-11
QDEU,2014-06-11
QCAN,2014-06-11
QAUS,2014-06-11
IUSB,2014-06-10
DGRO,2014-06-10
IPAC,2014-06-10
IEUR,2014-06-10
FMLP,2014-06-10
QWLD,2014-06-04
QEMM,2014-06-04
QEFA,2014-06-04
SMEZ,2014-06-04
JPMV,2014-06-03
EUMV,2014-06-03
AXJV,2014-06-03
LALT,2014-05-29
LQDH,2014-05-29
HYGH,2014-05-29
IBDH,2014-05-29
IBDF,2014-05-29
SPUU,2014-05-28
ASHS,2014-05-21
OUNZ,2014-05-16
EUDG,2014-05-07
IHDG,2014-05-07
VRP,2014-05-01
SUBD,2014-05-01
CN,2014-04-30
QAT,2014-04-29
UAE,2014-04-29
OSMS,2014-04-24
BYLD,2014-04-24
BCHP,2014-04-23
GLDS,2014-04-10
GLDL,2014-04-10
DXJC,2014-04-08
DXJH,2014-04-08
DXJT,2014-04-08
DXJF,2014-04-08
DXJR,2014-04-08
EDOG,2014-03-28
SPLX,2014-03-26
TOLZ,2014-03-25
IJNK,2014-03-12
GVAL,2014-03-12
GURX,2014-03-10
GURI,2014-03-10
QINC,2014-03-10
AIRR,2014-03-10
FV,2014-03-06
KBA,2014-03-05
HKOR,2014-03-04
YPRO,2014-03-04
IEIS,2014-02-27
IEIL,2014-02-27
SIPE,2014-02-27
IPKW,2014-02-27
EQLT,2014-02-25
GLDE,2014-02-11
GYEN,2014-02-11
GGBP,2014-02-11
GEUR,2014-02-11
USFR,2014-02-04
MUAH,2014-02-04
TFLO,2014-02-03
HEWJ,2014-01-31
HEWG,2014-01-31
HEFA,2014-01-31
DBMX,2014-01-23
DBKO,2014-01-23
DBAW,2014-01-23
ZMLP,2014-01-23
VUSE,2014-01-22
QDEM,2014-01-21
QDXU,2014-01-21
QEM,2014-01-21
QXUS,2014-01-21
EURZ,2014-01-15
EURL,2014-01-15
NYCC,2014-01-15
HOLD,2014-01-15
SHYD,2014-01-13
SYV,2014-01-08
SYE,2014-01-08
SYG,2014-01-08
SEMF,2014-01-08
IEMF,2014-01-08
LEMF,2014-01-08
FTHI,2014-01-07
FTLB,2014-01-07
RDVY,2014-01-07
COMT,NA
IBDL,NA
LDUR,NA
FMB,NA
DI,NA
JGBB,2013-12-18
HYND,2013-12-18
HYZD,2013-12-18
AGND,2013-12-18
AGZD,2013-12-18
USDU,2013-12-18
QYLD,2013-12-12
ICSH,2013-12-11
CEFL,2013-12-10
EMAG,2013-12-10
EMBB,2013-12-05
FYLD,2013-12-03
DWAT,2013-11-19
HFIN,2013-11-18
PGAL,2013-11-12
DXKW,2013-11-07
EMFM,2013-11-07
ASHR,2013-11-06
FTSD,2013-11-04
VIDI,2013-10-29
FUTY,2013-10-24
FCOM,2013-10-24
FMAT,2013-10-24
FTEC,2013-10-24
FIDU,2013-10-24
FHLC,2013-10-24
FNCL,2013-10-24
FENY,2013-10-24
FSTA,2013-10-24
FDIS,2013-10-24
FIBG,2013-10-17
IPO,2013-10-16
ULST,2013-10-09
NOBL,2013-10-09
CHNA,2013-10-09
RIGS,2013-10-09
FIEG,2013-10-08
NFRA,2013-10-08
JNUG,2012-10-03
JDST,2013-10-03
RDIV,2013-10-01
DBUK,2013-10-01
DBEU,2013-10-01
DBAP,2013-10-01
EMCG,2013-09-26
MLPC,2013-09-26
BSJK,2013-09-23
BSJJ,2013-09-23
DVHI,2013-09-19
FIEU,2013-09-06
YDIV,2013-08-28
EMHD,2013-08-15
FNDB,2013-08-15
FNDX,2013-08-15
FNDA,2013-08-15
FNDF,2013-08-15
FNDC,2013-08-15
FNDE,2013-08-15
CMDT,2013-08-08
FMF,2013-08-02
DGRE,2013-08-01
NASH,2013-08-01
ERW,2013-07-31
DGRS,2013-07-25
KFYP,2013-07-23
HDGI,2013-07-18
BSCL,2013-07-17
BSCM,2013-07-17
QUAL,2013-07-16
IBDA,2013-07-09
IBDB,2013-07-09
IBDC,2013-07-09
IBDD,2013-07-09
TWOK,2013-07-08
EMDG,2013-07-01
DXPS,2013-07-01
DXJS,2013-07-01
ISRA,2013-06-26
JPNS,2013-06-26
JPNL,2013-06-26
HSPX,2013-06-24
SPXH,2013-06-21
TRSK,2013-06-21
YYY,2013-06-21
PGHY,2013-06-20
ICOL,2013-06-18
CSCB,2013-06-12
CSCR,2013-06-12
VWOB,2013-06-04
BNDX,2013-06-04
BFOR,2013-06-04
UTLT,2013-06-04
RVNU,2013-06-04
DBGR,2013-05-31
WDIV,2013-05-30
TIPX,2013-05-30
FEEU,2013-05-23
FGHY,2013-05-22
DGRW,2013-05-22
SYLD,2013-05-14
PFEM,2013-05-09
KORZ,2013-05-01
BRZS,2013-05-01
FTSL,2013-05-01
IBCB,2013-04-19
IBCC,2013-04-19
IBCD,2013-04-19
IBCE,2013-04-19
IESM,2013-04-16
IELG,2013-04-16
VLUE,2013-04-16
SIZE,2013-04-16
MTUM,2013-04-16
SLVO,2013-04-16
IQDY,2013-04-16
IQDE,2013-04-16
IQDF,2013-04-16
KORU,2013-04-10
BRZU,2013-04-10
SRLN,2013-04-04
AZIA,2013-04-02
NGE,2013-04-02
THHY,2013-03-21
MINC,2013-03-20
IBMG,2013-03-19
ATMP,2013-03-12
DIV,2013-03-12
HVPW,2013-02-27
HYLS,2013-02-25
LGLV,2013-02-20
SMLV,2013-02-20
XMLV,2013-02-15
XSLV,2013-02-15
FXSG,2013-02-13
FORX,2013-02-12
FPE,2013-02-12
YMLI,2013-02-12
BIZD,2013-02-11
GLCB,2013-01-31
FLAG,2013-01-31
GLDI,2013-01-29
MLPJ,2013-01-14
IMLP,2013-01-04
DBIZ,2012-12-19
QDF,2012-12-19
QDEF,2012-12-19
QDYN,2012-12-19
PHDG,2012-12-06
GEMS,2012-11-29
RGRC,2012-11-29
SILJ,2012-11-29
RGRC,2012-11-15
RGRA,2012-11-15
RGRE,2012-11-15
RGRP,2012-11-15
RGRI,2012-11-15
SNLN,2012-11-07
IXUS,2012-10-23
IEMG,2012-10-23
IEFA,2012-10-23
ISTB,2012-10-23
SPHD,2012-10-18
MORL,2012-10-17
EMCR,2012-10-16
VTIP,2012-10-16
CAPE,2012-10-12
RAVI,2012-10-11
QMN,2012-10-04
TLTD,2012-09-28
TLTE,2012-09-28
CHXF,2012-09-19
VEGA,2012-09-17
FM,2012-09-12
JUNR,2012-09-06
ALTL,2012-09-06
VIXH,2012-08-31
MDIV,2012-08-14
TDIV,2012-08-14
EMDD,2012-08-15
BBRC,2012-08-15
QEH,2012-08-08
HUSE,2012-07-23
GDAY,2012-07-19
CROC,2012-07-19
DWAS,2012-07-19
AMU,2012-07-17
SPFF,2012-07-17
PFXF,2012-07-17
FINZ,2012-07-12
FINU,2012-07-12
RRGR,2012-07-10
EUFX,2012-06-26
SDOG,2012-06-29
EUFX,2012-06-26
EMLP,2012-06-21
HECO,2012-06-20
USMI,2012-06-19
EMCD,2012-06-18
XOVR,2012-06-18
SNDS,2012-06-12
FBG,2012-06-11
BNPC,2012-06-04
GURU,2012-06-04
ALFA,2012-05-31
GIVE,2012-05-24
SDYL,2012-05-23
DVYL,2012-05-23
COBO,2012-05-23
HYEM,2012-05-09
GYLD,2012-05-08
ILB,2012-05-01
BLND,2012-04-26
GAL,2012-04-26
INKM,2012-04-26
RLY,2012-04-26
QLTC,2012-04-26
QLTB,2012-04-26
MOAT,2012-04-25
BSJI,2012-04-25
BSJH,2012-04-25
BSJG,2012-04-25
MLPA,2012-04-19
TCHI,2012-04-19
CEMB,2012-04-19
USAG,2012-04-13
ANGL,2012-04-11
IYLD,2012-04-05
GHYG,2012-04-05
HYXU,2012-04-03
EMHY,2012-04-03
IHY,2012-04-03
TTT,2012-03-27
BSCK,2012-03-28
BSCJ,2012-03-28
BSCI,2012-03-28
TAGS,2012-03-28
QQQE,2012-03-21
RWXL,2012-03-20
IDXJ,2012-03-21
SJNK,2012-03-15
DIVS,2012-03-15
HDIV,2012-03-15
YMLP,2012-03-13
EMCB,2012-03-08
TRXT,2012-03-01
EMFT,2012-02-28
ACIM,2012-02-28
IDHB,2012-02-24
EEHB,2012-02-24
IDMO,2012-02-24
DVYA,2012-02-23
DVYE,2012-02-23
FDTS,2012-02-16
FEMS,2012-02-16
GNMA,2012-02-16
AMPS,2012-02-16
ENGN,2012-02-16
MONY,2012-02-16
CMBS,2012-02-16
QLTA,2012-02-16
GOVT,2012-02-16
FRAK,2012-02-15
FKU,2012-02-15
FTW,2012-02-15
FSZ,2012-02-15
FHK,2012-02-15
FGM,2012-02-15
FCAN,2012-02-15
FAUS,2012-02-15
SINF,2012-02-08
UINF,2012-02-08
SMIN,2012-02-08
DOIL,2012-02-08
UOIL,2012-02-08
UWTI,2012-02-08
DWTI,2012-02-08
DGAZ,2012-02-08
EEMA,2012-02-08
UGAZ,2012-02-08
SCPR,2012-02-08
LCPR,2012-02-08
PERM,2012-02-07
AXJS,2012-02-02
INDA,2012-02-02
SLVP,2012-01-31
RING,2012-01-31
PICK,2012-01-31
FILL,2012-01-31
VEGI,2012-01-31
GGOV,2012-01-26
EWGS,2012-01-26
EWCS,2012-01-26
EWAS,2012-01-26
EWUS,2012-01-26
EFNL,2012-01-26
EDEN,2012-01-25
ACCU,2012-01-26
ENOR,2012-01-24
EEML,2012-01-18
EEME,2012-01-18
IDLV,2012-01-13
EELV,2012-01-13
GMFS,2012-01-12
URTH,2012-01-12
EWSS,2012-01-12
EWHS,2012-01-12
FINF,2012-01-12
RINF,2012-01-12
SSAM,2012-01-11
VLAT,2012-01-11
VSPR,2012-01-11
VSPY,2012-01-11
TNDQ,2011-12-13
INSD,2011-12-08
KNOW,2011-12-08
GREK,2011-12-08
QQQV,2011-12-06
QQQM,2011-12-06
DEFL,2011-12-05
INFL,2011-12-05
FLRN,2011-12-01
OFF,2011-11-30
ONN,2011-11-30
IPFF,2011-11-16
CPER,2011-11-15
SOCL,2011-11-15
JGBD,2011-11-10
JGBS,2011-11-10
BUND,2011-11-10
CAD,2011-11-10
XLBT,2011-11-02
XLVO,2011-11-02
XHMO,2011-11-02
AUD,2011-11-01
KBWR,2011-11-01
KBWI,2011-11-01
KBWC,2011-11-01
KBWB,2011-11-01
AUNZ,2011-10-25
DRGS,2011-10-24
LEMB,2011-10-21
ACWV,2011-10-20
EEMV,2011-10-20
EFAV,2011-10-20
USMV,2011-10-20
SCHD,2011-10-18
UGLD,2011-10-17
DGLD,2011-10-17
USLV,2011-10-17
DSLV,2011-10-17
LPLT,2011-10-17
IPLT,2011-10-17
LPAL,2011-10-17
IPAL,2011-10-17
CHLC,2011-10-12
KOLD,2011-10-06
BOIL,2011-10-06
SCTR,2011-10-03
SCLP,2011-10-03
SCOG,2011-10-03
SGGG,2011-10-03
LSKY,2011-10-05
TTFS,2011-10-05
FXCH,2011-10-04
SVXY,2011-10-04
UVXY,2011-10-04
XAR,2011-09-29
XHS,2011-09-29
XSW,2011-09-29
TDTT,2011-09-23
GUNR,2011-09-23
TILT,2011-09-23
DSUM,2011-09-23
RMB,2011-09-22
CSMN,2011-09-21
IVOP,2011-09-19
WEAT,2011-09-19
CANE,2011-09-19
SOYB,2011-09-19
TWTI,2011-09-15
PFIG,2011-09-15
SSDL,2011-09-14
SSDD,2011-09-14
BTAH,2011-09-13
BTAL,2011-09-13
CHEP,2011-09-13
VXAA,2011-09-08
VXBB,2011-09-08
VXCC,2011-09-08
VXDD,2011-09-08
VXEE,2011-09-08
VXFF,2011-09-08
AAVX,2011-09-08
BBVX,2011-09-08
CCVX,2011-09-08
DDVX,2011-09-08
EEVX,2011-09-08
FFVX,2011-09-08
NOMO,2011-09-07
SIZ,2011-09-07
QLT,2011-09-07
MOM,2011-09-07
TZW,2011-08-18
TZY,2011-08-18
EEMS,2011-08-18
XVZ,2011-08-17
MORT,2011-08-17
INCO,2011-08-10
HILO,2011-08-04
EWSM,2011-08-04
EWMD,2011-08-04
EIPO,2011-07-21
EIPL,2011-07-21
RRF,2011-07-14
EMER,2011-07-13
NKY,2011-07-13
XMPT,2011-07-13
HDG,2011-07-13
DFVL,2011-07-12
DFVS,2011-07-12
SKYY,2011-07-06
BARL,2011-06-29
UGEM,2011-06-23
TGEM,2011-06-23
QGEM,2011-06-23
IGEM,2011-06-23
HGEM,2011-06-23
VGEM,2011-06-23
GGEM,2011-06-23
LGEM,2011-06-23
MATH,2011-06-23
FWDB,2011-06-21
FWDI,2011-06-21
FWDD,2011-06-21
FLOT,2011-06-17
HYS,2011-06-17
GASZ,2011-06-16
OILZ,2011-06-16
PXSG,2011-06-16
PXSC,2011-06-16
PXSV,2011-06-16
PXMG,2011-06-16
PXMC,2011-06-16
PXMV,2011-06-16
PXLG,2011-06-16
PXLC,2011-06-16
PXLV,2011-06-16
TOTS,2011-06-15
CURE,2011-06-15
SICK,2011-06-15
MATL,2011-06-15
MATS,2011-06-15
ROOF,2011-06-14
DBEM,2011-06-09
DBEF,2011-06-09
DBCN,2011-06-09
DBBR,2011-06-09
DBJP,2011-06-09
SDIV,2011-06-09
ABCS,2011-06-08
BARN,2011-06-02
RSUN,2011-06-02
GIY,2011-06-01
GSY,2011-06-01
SHBT,2011-05-27
SHMO,2011-05-27
SHVY,2011-05-27
SLBT,2011-05-27
SLVY,2011-05-27
CVRT,2011-05-26
HBTA,2011-05-26
HVOL,2011-05-26
LBTA,2011-05-26
LVOL,2011-05-26
SOIL,2011-05-26
BDCL,2011-05-25
COWL,2011-05-25
COWS,2011-05-25
HMTM,2011-05-25
RUSL,2011-05-25
RUSS,2011-05-25
UDNT,2011-05-24
UUPT,2011-05-24
CNPF,2011-05-20
GTIP,2011-05-20
ITIP,2011-05-20
AGRG,2011-05-19
CNTR,2011-05-19
CONG,2011-05-19
EQIN,2011-05-19
GRPC,2011-05-19
LWPE,2011-05-19
VROM,2011-05-19
HKK,2011-05-18
BONO,2011-05-12
FMK,2011-05-12
CARZ,2011-05-10
IOIL,2011-05-05
MEXS,2011-05-05
SPHB,2011-05-05
SPLV,2011-05-05
FISN,2011-05-04
EATX,2011-05-03
BDCS,2011-04-27
FLTR,2011-04-26
BCM,2011-04-21
BLNG,2011-04-21
CAFE,2011-04-21
CHOC,2011-04-21
CTNN,2011-04-21
CUPM,2011-04-21
DCNG,2011-04-21
DIRT,2011-04-21
FOIL,2011-04-21
GRWN,2011-04-21
HEVY,2011-04-21
LEDD,2011-04-20
LSTK,2011-04-20
NINI,2011-04-20
OLEM,2011-04-20
ONG,2011-04-20
SBV,2011-04-20
SGAR,2011-04-20
WEET,2011-04-20
FBZ,2011-04-19
FCA,2011-04-19
FDT,2011-04-19
FEM,2011-04-19
FEP,2011-04-19
FJP,2011-04-19
FKO,2011-04-19
FLN,2011-04-19
FNK,2011-04-19
FNY,2011-04-19
FYC,2011-04-19
FYT,2011-04-19
FPA,2011-04-18
HYMB,2011-04-14
IGU,2011-04-14
RSXJ,2011-04-14
UJB,2011-04-14
WSTE,2011-04-13
CBND,2011-04-07
GERJ,2011-04-05
TBX,2011-04-05
TBZ,2011-04-05
FBM,2011-03-30
FCD,2011-03-30
FCL,2011-03-30
FCQ,2011-03-30
FEG,2011-03-30
FFL,2011-03-30
FHC,2011-03-30
FIL,2011-03-30
FLG,2011-03-30
FMM,2011-03-30
FMU,2011-03-30
FOS,2011-03-30
FRL,2011-03-30
FTQ,2011-03-30
FUI,2011-03-30
HDV,2011-03-29
IGS,2011-03-29
MCHI,2011-03-29
BUNL,2011-03-23
BUNT,2011-03-23
ITLT,2011-03-23
ITLY,2011-03-23
JGBL,2011-03-23
JGBT,2011-03-23
SAGG,2011-03-23
TYBS,2011-03-23
TYNS,2011-03-23
CROP,2011-03-22
SJB,2011-03-22
ALD,2011-03-17
TSXV,2011-03-17
JUNR,2011-03-16
MLPY,2011-03-16
COLX,2011-03-15
GGGG,2011-03-15
XOIL,2011-03-15
CSMB,2011-03-08
ARGT,2011-03-03
BKLN,2011-03-03
FOL,2011-02-24
FSA,2011-02-24
FSE,2011-02-24
FSG,2011-02-24
FSU,2011-02-24
CRUD,2011-02-23
EBND,2011-02-23
EDIV,2011-02-23
TBAR,2011-02-22
ASEA,2011-02-17
FONE,2011-02-17
TPS,2011-02-10
AND,2011-02-03
NAGS,2011-02-01
EAPS,2011-01-28
HDGE,2011-01-27
TRNM,2011-01-27
VXUS,2011-01-27
XHE,2011-01-26
XTL,2011-01-26
XTN,2011-01-26
BSJC,2011-01-25
BSJD,2011-01-25
BSJE,2011-01-25
BSJF,2011-01-25
EMGX,2011-01-25
EMVX,2011-01-25
AGOL,2011-01-14
IVO,2011-01-13
SCHH,2011-01-13
SCHM,2011-01-13
EWAC,2011-01-07
WDTI,2011-01-05
ALUM,2011-01-04
VIXM,2011-01-03
VIXY,2011-01-03
RALS,2010-12-09
DUST,2010-12-08
EWEF,2010-12-08
EWEM,2010-12-08
EWRI,2010-12-08
EWRM,2010-12-08
EWRS,2010-12-08
FLYX,2010-12-08
NUGT,2010-12-08
TRND,2010-12-08
WITE,2010-12-03
HYLD,2010-12-02
KBWD,2010-12-02
KBWP,2010-12-02
KBWX,2010-12-02
KBWY,2010-12-02
XVIX,2010-12-01
EMLB,2010-11-29
EMSA,2010-11-29
MFLA,2010-11-29
MFSA,2010-11-29
ROLA,2010-11-29
ROSA,2010-11-29
RTLA,2010-11-29
RTSA,2010-11-29
SFLA,2010-11-29
SFSA,2010-11-29
TVIX,2010-11-29
TVIZ,2010-11-29
VIIX,2010-11-29
VIIZ,2010-11-29
VZZ,2010-11-29
XIV,2010-11-29
ZIV,2010-11-29
CVOL,2010-11-12
ERUS,2010-11-10
NORW,2010-11-10
INXX,2010-11-08
SEA,2010-11-06
URA,2010-11-05
GLDX,2010-11-04
GOEX,2010-11-03
TRSY,2010-11-02
MLPW,2010-11-01
VNQI,2010-11-01
REMX,2010-10-28
GTAA,2010-10-25
GLTR,2010-10-22
IGW,2010-10-15
PEK,2010-10-13
DSTJ,2010-10-04
DSXJ,2010-10-04
CSMA,2010-10-01
ECNS,2010-09-28
EPHE,2010-09-28
EWZS,2010-09-28
MLPS,2010-09-28
CCX,2010-09-24
BABZ,2010-09-20
CORP,2010-09-20
VONE,2010-09-20
VTWG,2010-09-20
VTWO,2010-09-20
VONG,2010-09-16
VONV,2010-09-16
VTHR,2010-09-16
VTWV,2010-09-16
ECON,2010-09-14
GNR,2010-09-13
IVOG,2010-09-07
IVOO,2010-09-07
IVOV,2010-09-07
VIOG,2010-09-07
VIOO,2010-09-07
VIOV,2010-09-07
VOO,2010-09-07
VOOG,2010-09-07
VOOV,2010-09-07
ENZL,2010-09-01
VQT,2010-08-31
AMLP,2010-08-25
SCIF,2010-08-23
USCI,2010-08-10
DLBL,2010-08-09
DLBS,2010-08-09
DTUL,2010-08-09
DTUS,2010-08-09
DTYL,2010-08-09
DTYS,2010-08-09
ELD,2010-08-09
FLAT,2010-08-09
STPP,2010-08-09
SCHO,2010-08-05
SCHP,2010-08-05
SCHR,2010-08-05
BRAF,2010-07-29
LIT,2010-07-23
EMLC,2010-07-22
AADR,2010-07-20
XXV,2010-07-16
FCGL,2010-07-14
FCGS,2010-07-14
GASL,2010-07-14
GASX,2010-07-14
RETL,2010-07-14
RETS,2010-07-14
AXDI,2010-07-13
AXEN,2010-07-13
AXHE,2010-07-13
AXID,2010-07-13
AXIT,2010-07-13
AXMT,2010-07-13
AXSL,2010-07-13
AXTE,2010-07-13
